[2026-02-05 15:18:18] User -> DCP Active -> br@fci| Vk07
[2026-02-05 15:18:27] User -> DCP Edit ->br@fci| Requested JSON -> {"name":"Vk0766","uniqueid":"DCP_6984673b896","active":"1","type":"fast ","latitude":"19","longitude":"78","district":"Araria","id":"1001","demand":"70","demand_rice":"100"}
[2026-02-05 15:18:30] User -> DCP InActive -> br@fci| Vk0766
[2026-02-05 15:18:34] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"DCP_6984673b896"} | Vk0766
[2026-02-05 15:24:47] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:24:49] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:24:51] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:24:52] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:24:54] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:24:55] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:24:56] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:24:59] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:25:00] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:25:18] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:25:19] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:25:21] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:25:37] User -> DCP Active -> br@fci| VK
[2026-02-05 15:25:38] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:25:39] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:25:41] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:25:43] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:25:43] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:28:38] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:28:40] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:30:24] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:30:27] User -> DCP Active -> br@fci| VK45566
[2026-02-05 15:30:29] User -> DCP InActive -> br@fci| VK45566
[2026-02-05 15:30:30] User -> DCP Active -> br@fci| VK45566
